--- Nouveau Log ---
Temps: 1s | Batterie: 97.95J | Paquets en attente: 0
Temps: 2s | Batterie: 95.90J | Paquets en attente: 0
Temps: 3s | Batterie: 93.85J | Paquets en attente: 0
Temps: 4s | Batterie: 91.80J | Paquets en attente: 0
Temps: 5s | Batterie: 89.75J | Paquets en attente: 0
Temps: 6s | Batterie: 87.70J | Paquets en attente: 0
Temps: 7s | Batterie: 85.65J | Paquets en attente: 0
Temps: 8s | Batterie: 83.60J | Paquets en attente: 0
Temps: 9s | Batterie: 81.55J | Paquets en attente: 0
Temps: 10s | Batterie: 79.50J | Paquets en attente: 0
Temps: 11s | Batterie: 77.45J | Paquets en attente: 0
Temps: 12s | Batterie: 75.40J | Paquets en attente: 0
Temps: 13s | Batterie: 73.35J | Paquets en attente: 0
Temps: 14s | Batterie: 71.30J | Paquets en attente: 0
Temps: 15s | Batterie: 69.25J | Paquets en attente: 0
Temps: 16s | Batterie: 67.20J | Paquets en attente: 0
Temps: 17s | Batterie: 65.15J | Paquets en attente: 0
Temps: 18s | Batterie: 63.10J | Paquets en attente: 0
Temps: 19s | Batterie: 61.05J | Paquets en attente: 0
Temps: 20s | Batterie: 59.00J | Paquets en attente: 0
Temps: 21s | Batterie: 56.95J | Paquets en attente: 0
Temps: 22s | Batterie: 54.90J | Paquets en attente: 0
Temps: 23s | Batterie: 52.85J | Paquets en attente: 0
Temps: 24s | Batterie: 50.80J | Paquets en attente: 0
Temps: 25s | Batterie: 48.75J | Paquets en attente: 0
Temps: 26s | Batterie: 46.70J | Paquets en attente: 0
Temps: 27s | Batterie: 44.65J | Paquets en attente: 0
Temps: 28s | Batterie: 42.60J | Paquets en attente: 0
Temps: 29s | Batterie: 40.55J | Paquets en attente: 0
Temps: 30s | Batterie: 38.50J | Paquets en attente: 0
Temps: 31s | Batterie: 36.45J | Paquets en attente: 0
Temps: 32s | Batterie: 34.40J | Paquets en attente: 0
Temps: 33s | Batterie: 32.35J | Paquets en attente: 0
Temps: 34s | Batterie: 30.30J | Paquets en attente: 0
Temps: 35s | Batterie: 28.25J | Paquets en attente: 0
Temps: 36s | Batterie: 26.20J | Paquets en attente: 0
Temps: 37s | Batterie: 24.15J | Paquets en attente: 0
Temps: 38s | Batterie: 22.10J | Paquets en attente: 0
Temps: 39s | Batterie: 20.05J | Paquets en attente: 0
Temps: 40s | Batterie: 18.00J | Paquets en attente: 0
Temps: 41s | Batterie: 15.95J | Paquets en attente: 0
Temps: 42s | Batterie: 13.90J | Paquets en attente: 0
Temps: 43s | Batterie: 11.85J | Paquets en attente: 0
Temps: 44s | Batterie: 9.80J | Paquets en attente: 0
Temps: 45s | Batterie: 7.75J | Paquets en attente: 0
Temps: 46s | Batterie: 5.70J | Paquets en attente: 0
Temps: 47s | Batterie: 3.65J | Paquets en attente: 0
Temps: 48s | Batterie: 1.60J | Paquets en attente: 0
Temps: 49s | Batterie: 1.60J | Paquets en attente: 1
Temps: 50s | Batterie: 1.60J | Paquets en attente: 2
Temps: 51s | Batterie: 1.60J | Paquets en attente: 3
Temps: 52s | Batterie: 1.60J | Paquets en attente: 4
Temps: 53s | Batterie: 1.60J | Paquets en attente: 5
Temps: 54s | Batterie: 1.60J | Paquets en attente: 5
Temps: 55s | Batterie: 1.60J | Paquets en attente: 5
Temps: 56s | Batterie: 1.60J | Paquets en attente: 5
Temps: 57s | Batterie: 1.60J | Paquets en attente: 5
